filename,fuel_type,expected,predicted,response,correct,cer
stele_71.jpg,price_92,56.93,,48A,0.0,1.0
stele_71.jpg,price_95,63.0,,48A,0.0,1.0
stele_71.jpg,price_98,68.73,,48A,0.0,1.0
stele_71.jpg,price_DT,71.6,,48A,0.0,1.0
stele_72.jpg,price_92,56.9,,SIRKI,0.0,1.0
stele_72.jpg,price_95,60.9,,SIRKI,0.0,1.0
stele_72.jpg,price_DT,69.5,,SIRKI,0.0,1.0
stele_73.jpg,price_92,28.2,,-,0.0,1.0
stele_73.jpg,price_95,29.9,,-,0.0,1.0
stele_73.jpg,price_DT,25.9,,-,0.0,1.0
stele_74.jpg,price_92,41.0,,-,0.0,1.0
stele_74.jpg,price_95,43.6,,-,0.0,1.0
stele_74.jpg,price_98,48.5,,-,0.0,1.0
stele_74.jpg,price_DT,41.0,,-,0.0,1.0
stele_75.jpg,price_92,23.54,23.55,QOMETA98 23.1895.64.8995 12.1892.63.8992 23.5480 8 1.62Q OMETAIIT 65.56ETAOMETAMAFASHIN24KAODE,1.0,0.2
stele_75.jpg,price_95,12.78,,QOMETA98 23.1895.64.8995 12.1892.63.8992 23.5480 8 1.62Q OMETAIIT 65.56ETAOMETAMAFASHIN24KAODE,0.0,1.0
stele_75.jpg,price_98,23.78,,QOMETA98 23.1895.64.8995 12.1892.63.8992 23.5480 8 1.62Q OMETAIIT 65.56ETAOMETAMAFASHIN24KAODE,0.0,1.0
stele_75.jpg,price_DT,65.56,65.56,QOMETA98 23.1895.64.8995 12.1892.63.8992 23.5480 8 1.62Q OMETAIIT 65.56ETAOMETAMAFASHIN24KAODE,1.0,0.0
stele_76.jpg,price_92,20.5,20.50,Excellent95 22.0092 20.50An 18.65An 11.52LPG12.7,1.0,0.25
stele_76.jpg,price_95,22.0,22.01,Excellent95 22.0092 20.50An 18.65An 11.52LPG12.7,1.0,0.25
stele_76.jpg,price_DT,17.52,,Excellent95 22.0092 20.50An 18.65An 11.52LPG12.7,0.0,1.0
stele_77.jpg,price_92,23.0,,-,0.0,1.0
stele_77.jpg,price_95,24.0,,-,0.0,1.0
stele_77.jpg,price_DT,24.0,,-,0.0,1.0
stele_78.jpg,price_92,27.6,,SPIRE,0.0,1.0
stele_78.jpg,price_DT,33.0,,SPIRE,0.0,1.0
stele_79.jpg,price_92,27.1,,ПАЗРИЕСОТЬ32.0029.9029.0021.1028.30,0.0,1.0
stele_79.jpg,price_95,29.0,,ПАЗРИЕСОТЬ32.0029.9029.0021.1028.30,0.0,1.0
stele_79.jpg,price_98,32.0,32.00,ПАЗРИЕСОТЬ32.0029.9029.0021.1028.30,1.0,0.25
stele_79.jpg,price_DT,28.3,,ПАЗРИЕСОТЬ32.0029.9029.0021.1028.30,0.0,1.0
stele_80.jpg,price_92,31.9,,3:803:90,0.0,1.0
stele_80.jpg,price_95,34.8,,3:803:90,0.0,1.0
stele_80.jpg,price_DT,34.9,,3:803:90,0.0,1.0
stele_81.jpg,price_92,40.7,,COA,0.0,1.0
stele_81.jpg,price_95,44.3,,COA,0.0,1.0
stele_81.jpg,price_98,48.0,,COA,0.0,1.0
stele_81.jpg,price_DT,43.5,,COA,0.0,1.0
stele_82.jpg,price_92,21.0,,Nikon9592 1.0080 1.80,0.0,1.0
stele_82.jpg,price_DT,16.0,,Nikon9592 1.0080 1.80,0.0,1.0
stele_83.jpg,price_92,29.0,,EALWHEOTbATUM29.5034.10326029.00/33.60EBPO,0.0,1.0
stele_83.jpg,price_95,32.6,,EALWHEOTbATUM29.5034.10326029.00/33.60EBPO,0.0,1.0
stele_83.jpg,price_98,34.1,,EALWHEOTbATUM29.5034.10326029.00/33.60EBPO,0.0,1.0
stele_83.jpg,price_DT,33.6,33.60,EALWHEOTbATUM29.5034.10326029.00/33.60EBPO,1.0,0.25
stele_84.jpg,price_92,27.5,,LUKJYKOnn,0.0,1.0
stele_84.jpg,price_95,29.5,,LUKJYKOnn,0.0,1.0
stele_84.jpg,price_DT,29.0,,LUKJYKOnn,0.0,1.0
stele_85.jpg,price_92,25.9,25.90,TAXIOILESO Quality88.4888.21.095 25.9025.9080 25.40OT 24.50,1.0,0.25
stele_85.jpg,price_95,26.9,,TAXIOILESO Quality88.4888.21.095 25.9025.9080 25.40OT 24.50,0.0,1.0
stele_85.jpg,price_98,27.7,,TAXIOILESO Quality88.4888.21.095 25.9025.9080 25.40OT 24.50,0.0,1.0
stele_85.jpg,price_DT,24.5,24.50,TAXIOILESO Quality88.4888.21.095 25.9025.9080 25.40OT 24.50,1.0,0.25
stele_86.jpg,price_92,46.3,,5.30,0.0,1.0
stele_86.jpg,price_95,49.9,,5.30,0.0,1.0
stele_86.jpg,price_98,60.25,,5.30,0.0,1.0
stele_86.jpg,price_DT,53.0,,5.30,0.0,1.0
stele_87.jpg,price_92,40.4,,МБКПЛОС9240.409543.50AT43.00ТАЯ22.00WCСДЕДAHO,0.0,1.0
stele_87.jpg,price_95,43.5,,МБКПЛОС9240.409543.50AT43.00ТАЯ22.00WCСДЕДAHO,0.0,1.0
stele_87.jpg,price_DT,43.0,43.00,МБКПЛОС9240.409543.50AT43.00ТАЯ22.00WCСДЕДAHO,1.0,0.25
stele_88.jpg,price_92,39.5,39.50,СИБЕЛИ95 41.6092 39.50АТЕ ИОЛAT 43.80Магазин,1.0,0.25
stele_88.jpg,price_95,41.5,,СИБЕЛИ95 41.6092 39.50АТЕ ИОЛAT 43.80Магазин,0.0,1.0
stele_88.jpg,price_DT,41.0,,СИБЕЛИ95 41.6092 39.50АТЕ ИОЛAT 43.80Магазин,0.0,1.0
stele_89.jpg,price_92,32.25,,ГАЗОРИЕТЬСФИ39.2936.2595.95.1692.2.2503.90,0.0,1.0
stele_89.jpg,price_95,35.15,,ГАЗОРИЕТЬСФИ39.2936.2595.95.1692.2.2503.90,0.0,1.0
stele_89.jpg,price_98,39.25,39.29,ГАЗОРИЕТЬСФИ39.2936.2595.95.1692.2.2503.90,1.0,0.2
stele_89.jpg,price_DT,33.9,,ГАЗОРИЕТЬСФИ39.2936.2595.95.1692.2.2503.90,0.0,1.0
stele_90.jpg,price_92,18.5,,MSIPOM,0.0,1.0
stele_90.jpg,price_95,20.3,,MSIPOM,0.0,1.0
stele_90.jpg,price_98,24.6,,MSIPOM,0.0,1.0
stele_90.jpg,price_DT,19.4,,MSIPOM,0.0,1.0
stele_91.jpg,price_92,19.99,,٠٠,0.0,1.0
stele_91.jpg,price_95,20.99,,٠٠,0.0,1.0
stele_92.jpg,price_92,43.65,,100.0020-0,0.0,1.0
stele_92.jpg,price_95,46.85,,100.0020-0,0.0,1.0
stele_92.jpg,price_DT,45.0,,100.0020-0,0.0,1.0
stele_93.jpg,price_92,40.7,,UKАУКОЛИЙEpoSKTO 1001005095,0.0,1.0
stele_93.jpg,price_95,43.5,,UKАУКОЛИЙEpoSKTO 1001005095,0.0,1.0
stele_93.jpg,price_DT,50.0,,UKАУКОЛИЙEpoSKTO 1001005095,0.0,1.0
stele_94.jpg,price_92,32.8,,F3,0.0,1.0
stele_94.jpg,price_95,35.0,,F3,0.0,1.0
stele_94.jpg,price_DT,33.75,,F3,0.0,1.0
stele_95.jpg,price_92,49.03,,LKAYKORUA,0.0,1.0
stele_95.jpg,price_95,53.75,,LKAYKORUA,0.0,1.0
stele_95.jpg,price_DT,60.92,,LKAYKORUA,0.0,1.0
stele_96.jpg,price_92,17.6,,-,0.0,1.0
stele_96.jpg,price_95,20.5,,-,0.0,1.0
stele_96.jpg,price_DT,19.1,,-,0.0,1.0
stele_97.jpg,price_92,23.54,,OMETA,0.0,1.0
stele_97.jpg,price_95,12.78,,OMETA,0.0,1.0
stele_97.jpg,price_98,23.78,,OMETA,0.0,1.0
stele_97.jpg,price_DT,65.56,,OMETA,0.0,1.0
stele_98.jpg,price_92,33.0,,СИТЕМЫ95 95.1072.3300m:3250E:305024 HACA,0.0,1.0
stele_98.jpg,price_95,35.7,,СИТЕМЫ95 95.1072.3300m:3250E:305024 HACA,0.0,1.0
stele_98.jpg,price_DT,32.5,,СИТЕМЫ95 95.1072.3300m:3250E:305024 HACA,0.0,1.0
stele_99.jpg,price_92,51.0,,아리스타자에세,0.0,1.0
stele_99.jpg,price_95,54.0,,아리스타자에세,0.0,1.0
stele_99.jpg,price_DT,67.0,,아리스타자에세,0.0,1.0
stele_100.jpg,price_92,40.0,,C,0.0,1.0
stele_100.jpg,price_95,42.6,,C,0.0,1.0
stele_100.jpg,price_DT,40.0,,C,0.0,1.0
stele_101.jpg,price_92,33.6,,UKwww.rekama.rt16.ruAukapoARATAP,0.0,1.0
stele_101.jpg,price_95,36.9,,UKwww.rekama.rt16.ruAukapoARATAP,0.0,1.0
stele_101.jpg,price_DT,34.5,,UKwww.rekama.rt16.ruAukapoARATAP,0.0,1.0
stele_102.jpg,price_92,26.35,26.35,LUKAMKAPPS$2.1592.00.0092.26.3537:24.95,1.0,0.0
stele_102.jpg,price_95,27.75,,LUKAMKAPPS$2.1592.00.0092.26.3537:24.95,0.0,1.0
stele_102.jpg,price_DT,24.95,24.95,LUKAMKAPPS$2.1592.00.0092.26.3537:24.95,1.0,0.0
stele_103.jpg,price_92,28.2,28.21,A3C95 29.9092 28.2080 26.20AT 25.90MaraзинKade,1.0,0.25
