filename,fuel_type,expected,predicted,correct,cer
stele_1.jpg,price_92,56.93,48A,0.0,1.0
stele_1.jpg,price_95,63.0,48A,0.0,1.0
stele_1.jpg,price_98,68.73,48A,0.0,0.8
stele_1.jpg,price_DT,71.6,48A,0.0,1.0
stele_2.jpg,price_92,56.9,ARKIARKI15 60.9012 56.90T: 69.,1.0,6.5
stele_2.jpg,price_95,60.9,ARKIARKI15 60.9012 56.90T: 69.,1.0,6.5
stele_2.jpg,price_DT,69.5,ARKIARKI15 60.9012 56.90T: 69.,0.0,6.75
stele_3.jpg,price_92,28.2,АВС95 29.9092 28.2080 26.20,1.0,5.75
stele_3.jpg,price_95,29.9,АВС95 29.9092 28.2080 26.20,1.0,5.75
stele_3.jpg,price_DT,25.9,АВС95 29.9092 28.2080 26.20,0.0,6.0
stele_4.jpg,price_92,41.0,$5.00,0.0,0.75
stele_4.jpg,price_95,43.6,$5.00,0.0,1.0
stele_4.jpg,price_98,48.5,$5.00,0.0,1.0
stele_4.jpg,price_DT,41.0,$5.00,0.0,0.75
stele_5.jpg,price_92,23.54,OMETA98 23.1895.64.8995 12.1892,0.0,5.2
stele_5.jpg,price_95,12.78,OMETA98 23.1895.64.8995 12.1892,0.0,5.4
stele_5.jpg,price_98,23.78,OMETA98 23.1895.64.8995 12.1892,0.0,5.4
stele_5.jpg,price_DT,65.56,OMETA98 23.1895.64.8995 12.1892,0.0,5.6
stele_6.jpg,price_92,20.5,Excellent95 22.0092 20.50An 18.65An 17.,1.0,8.75
stele_6.jpg,price_95,22.0,Excellent95 22.0092 20.50An 18.65An 17.,1.0,8.75
stele_6.jpg,price_DT,17.52,Excellent95 22.0092 20.50An 18.65An 17.,0.0,7.2
stele_7.jpg,price_92,23.0,KPOC95 24.0092 23.0024.00TA3,1.0,6.0
stele_7.jpg,price_95,24.0,KPOC95 24.0092 23.0024.00TA3,1.0,6.0
stele_7.jpg,price_DT,24.0,KPOC95 24.0092 23.0024.00TA3,1.0,6.0
stele_8.jpg,price_92,27.6,MTK216026.0033.00SPIRE,0.0,5.0
stele_8.jpg,price_DT,33.0,MTK216026.0033.00SPIRE,1.0,4.5
stele_9.jpg,price_92,27.1,ГАЗПРИЕОТЬ32.0029.90,0.0,4.5
stele_9.jpg,price_95,29.0,ГАЗПРИЕОТЬ32.0029.90,0.0,4.0
stele_9.jpg,price_98,32.0,ГАЗПРИЕОТЬ32.0029.90,1.0,4.0
stele_9.jpg,price_DT,28.3,ГАЗПРИЕОТЬ32.0029.90,0.0,4.5
stele_10.jpg,price_92,31.9,AHCT10.029S 34.8092 3.90AT,0.0,5.75
stele_10.jpg,price_95,34.8,AHCT10.029S 34.8092 3.90AT,1.0,5.5
stele_10.jpg,price_DT,34.9,AHCT10.029S 34.8092 3.90AT,0.0,5.5
stele_11.jpg,price_92,40.7,COAHA98 48.0095 44.3092 40 70DT 43,0.0,7.5
stele_11.jpg,price_95,44.3,COAHA98 48.0095 44.3092 40 70DT 43,1.0,7.5
stele_11.jpg,price_98,48.0,COAHA98 48.0095 44.3092 40 70DT 43,1.0,7.5
stele_11.jpg,price_DT,43.5,COAHA98 48.0095 44.3092 40 70DT 43,0.0,7.75
stele_12.jpg,price_92,21.0,NikOil9592 2 1.0080 16.80AT 16.00,0.0,7.25
stele_12.jpg,price_DT,16.0,NikOil9592 2 1.0080 16.80AT 16.00,1.0,7.25
stele_13.jpg,price_92,29.0,БАШНЕОТЬATUM₹29.50,0.0,3.5
stele_13.jpg,price_95,32.6,БАШНЕОТЬATUM₹29.50,0.0,4.0
stele_13.jpg,price_98,34.1,БАШНЕОТЬATUM₹29.50,0.0,4.25
stele_13.jpg,price_DT,33.6,БАШНЕОТЬATUM₹29.50,0.0,4.25
stele_14.jpg,price_92,27.5,КУЖОЛИEapoAWKAPO95.29.,0.0,5.25
stele_14.jpg,price_95,29.5,КУЖОЛИEapoAWKAPO95.29.,0.0,5.0
stele_14.jpg,price_DT,29.0,КУЖОЛИEapoAWKAPO95.29.,0.0,5.0
stele_15.jpg,price_92,25.9,TAXIOILESO Quality88.4898.21.1095,0.0,7.5
stele_15.jpg,price_95,26.9,TAXIOILESO Quality88.4898.21.1095,0.0,7.5
stele_15.jpg,price_98,27.7,TAXIOILESO Quality88.4898.21.1095,0.0,7.75
stele_15.jpg,price_DT,24.5,TAXIOILESO Quality88.4898.21.1095,0.0,7.5
stele_16.jpg,price_92,46.3,СУРТЕГЕ ТАЗ98 60.2595 49.90,0.0,6.25
stele_16.jpg,price_95,49.9,СУРТЕГЕ ТАЗ98 60.2595 49.90,1.0,5.75
stele_16.jpg,price_98,60.25,СУРТЕГЕ ТАЗ98 60.2595 49.90,1.0,4.4
stele_16.jpg,price_DT,53.0,СУРТЕГЕ ТАЗ98 60.2595 49.90,0.0,6.0
stele_17.jpg,price_92,40.4,МБКПЛОС9240.40,1.0,2.5
stele_17.jpg,price_95,43.5,МБКПЛОС9240.40,0.0,3.0
stele_17.jpg,price_DT,43.0,МБКПЛОС9240.40,0.0,2.75
stele_18.jpg,price_92,39.5,СИБОИи95 41.5092 39.50,1.0,4.5
stele_18.jpg,price_95,41.5,СИБОИи95 41.5092 39.50,1.0,4.5
stele_18.jpg,price_DT,41.0,СИБОИи95 41.5092 39.50,0.0,4.5
stele_19.jpg,price_92,32.25,ТАЗИРОМНЕТьGDRIVEG39.25,0.0,3.8
stele_19.jpg,price_95,35.15,ТАЗИРОМНЕТьGDRIVEG39.25,0.0,4.0
stele_19.jpg,price_98,39.25,ТАЗИРОМНЕТьGDRIVEG39.25,1.0,3.6
stele_19.jpg,price_DT,33.9,ТАЗИРОМНЕТьGDRIVEG39.25,0.0,5.25
stele_20.jpg,price_92,18.5,ТАЗИРОМ92 18.5095 20.3098 24,1.0,6.0
stele_20.jpg,price_95,20.3,ТАЗИРОМ92 18.5095 20.3098 24,1.0,6.0
stele_20.jpg,price_98,24.6,ТАЗИРОМ92 18.5095 20.3098 24,0.0,6.5
stele_20.jpg,price_DT,19.4,ТАЗИРОМ92 18.5095 20.3098 24,0.0,6.0
stele_21.jpg,price_92,19.99,SOCAR25.992.9917.9918.99,0.0,3.8
stele_21.jpg,price_95,20.99,SOCAR25.992.9917.9918.99,0.0,4.0
stele_22.jpg,price_92,43.65,POCHEpts92/43.6592/44.2595/46.85,1.0,5.4
stele_22.jpg,price_95,46.85,POCHEpts92/43.6592/44.2595/46.85,1.0,5.4
stele_22.jpg,price_DT,45.0,POCHEpts92/43.6592/44.2595/46.85,0.0,7.25
stele_23.jpg,price_92,40.7,ЛУКОИЙEapoSKTO 1001.5000,0.0,5.5
stele_23.jpg,price_95,43.5,ЛУКОИЙEapoSKTO 1001.5000,0.0,5.5
stele_23.jpg,price_DT,50.0,ЛУКОИЙEapoSKTO 1001.5000,0.0,5.25
stele_24.jpg,price_92,32.8,ОАСТОNКупич 4 Питра95з,0.0,5.5
stele_24.jpg,price_95,35.0,ОАСТОNКупич 4 Питра95з,0.0,5.5
stele_24.jpg,price_DT,33.75,ОАСТОNКупич 4 Питра95з,0.0,4.2
stele_25.jpg,price_92,49.03,LUKПУКОИИВТО-100А,0.0,3.2
stele_25.jpg,price_95,53.75,LUKПУКОИИВТО-100А,0.0,3.4
stele_25.jpg,price_DT,60.92,LUKПУКОИИВТО-100А,0.0,3.4
stele_26.jpg,price_92,17.6,РОСНЕГТЬ80 15.5092 17.50,0.0,5.25
stele_26.jpg,price_95,20.5,РОСНЕГТЬ80 15.5092 17.50,0.0,5.25
stele_26.jpg,price_DT,19.1,РОСНЕГТЬ80 15.5092 17.50,0.0,5.25
stele_27.jpg,price_92,23.54,OMETA98.23.8895.64.8995.12.88,0.0,4.8
stele_27.jpg,price_95,12.78,OMETA98.23.8895.64.8995.12.88,0.0,5.0
stele_27.jpg,price_98,23.78,OMETA98.23.8895.64.8995.12.88,0.0,5.0
stele_27.jpg,price_DT,65.56,OMETA98.23.8895.64.8995.12.88,0.0,5.2
stele_28.jpg,price_92,33.0,СУСтемы95 95.0072 3300m:3250,0.0,6.25
stele_28.jpg,price_95,35.7,СУСтемы95 95.0072 3300m:3250,0.0,6.25
stele_28.jpg,price_DT,32.5,СУСтемы95 95.0072 3300m:3250,0.0,6.5
stele_29.jpg,price_92,51.0,pycomn100 100.0095 5400925 100,0.0,6.75
stele_29.jpg,price_95,54.0,pycomn100 100.0095 5400925 100,0.0,6.75
stele_29.jpg,price_DT,67.0,pycomn100 100.0095 5400925 100,0.0,7.0
stele_30.jpg,price_92,40.0,00-00.0000-02.00,0.0,3.25
stele_30.jpg,price_95,42.6,00-00.0000-02.00,0.0,3.5
stele_30.jpg,price_DT,40.0,00-00.0000-02.00,0.0,3.25
stele_31.jpg,price_92,33.6,LUKwww.rekhan-rt16.ruAukapdARATAP,0.0,7.75
stele_31.jpg,price_95,36.9,LUKwww.rekhan-rt16.ruAukapdARATAP,0.0,7.75
stele_31.jpg,price_DT,34.5,LUKwww.rekhan-rt16.ruAukapdARATAP,0.0,8.0
stele_32.jpg,price_92,26.35,LKAAMKAPO9521.1592.00.00,0.0,4.2
stele_32.jpg,price_95,27.75,LKAAMKAPO9521.1592.00.00,0.0,4.2
stele_32.jpg,price_DT,24.95,LKAAMKAPO9521.1592.00.00,0.0,4.2
stele_33.jpg,price_92,28.2,АВС95 29.9092 28.2080 26.20,1.0,5.75
stele_33.jpg,price_95,29.9,АВС95 29.9092 28.2080 26.20,1.0,5.75
stele_33.jpg,price_DT,25.9,АВС95 29.9092 28.2080 26.20,0.0,6.0
stele_34.jpg,price_92,47.6,ГИМУЛЬСРОНЕЗТАЯPUL,0.0,4.5
stele_34.jpg,price_95,52.4,ГИМУЛЬСРОНЕЗТАЯPUL,0.0,4.5
stele_34.jpg,price_DT,54.0,ГИМУЛЬСРОНЕЗТАЯPUL,0.0,4.5
stele_35.jpg,price_92,27.6,MTK27.609226.0080,1.0,3.25
stele_35.jpg,price_DT,33.0,MTK27.609226.0080,0.0,3.75
stele_36.jpg,price_92,52.2,ЗТР РУСО,0.0,2.0
stele_36.jpg,price_95,56.2,ЗТР РУСО,0.0,2.0
stele_36.jpg,price_DT,63.0,ЗТР РУСО,0.0,2.0
stele_37.jpg,price_92,29.8,LKBICTO32.2532.7529.80,1.0,4.5
stele_37.jpg,price_95,32.75,LKBICTO32.2532.7529.80,1.0,3.4
stele_37.jpg,price_98,33.25,LKBICTO32.2532.7529.80,0.0,3.6
stele_37.jpg,price_DT,33.4,LKBICTO32.2532.7529.80,0.0,4.75
stele_38.jpg,price_92,37.9,3K TO38.6232 31.9094 12095 42.20,0.0,7.25
stele_38.jpg,price_95,41.2,3K TO38.6232 31.9094 12095 42.20,0.0,7.0
stele_38.jpg,price_DT,38.62,3K TO38.6232 31.9094 12095 42.20,1.0,5.4
stele_40.jpg,price_92,37.13,LKДУКОЛИ349031 13,0.0,2.8
stele_40.jpg,price_95,40.3,LKДУКОЛИ349031 13,0.0,3.5
stele_40.jpg,price_DT,34.9,LKДУКОЛИ349031 13,0.0,3.75
stele_41.jpg,price_92,36.3,4039.9038.8036.3038.60,1.0,4.5
stele_41.jpg,price_95,38.8,4039.9038.8036.3038.60,1.0,4.5
stele_41.jpg,price_DT,38.6,4039.9038.8036.3038.60,1.0,4.5
stele_42.jpg,price_92,54.74,59.9492 54.9498 18.9066.50,0.0,4.4
stele_42.jpg,price_95,59.14,59.9492 54.9498 18.9066.50,0.0,4.4
stele_42.jpg,price_98,78.9,59.9492 54.9498 18.9066.50,0.0,5.75
stele_42.jpg,price_DT,66.5,59.9492 54.9498 18.9066.50,1.0,5.5
stele_43.jpg,price_92,31.88,АВИТОРТ,0.0,1.4
stele_43.jpg,price_95,34.48,АВИТОРТ,0.0,1.4
stele_43.jpg,price_DT,33.8,АВИТОРТ,0.0,1.75
stele_44.jpg,price_92,56.0,12:00Av - 95Av - 92ED10:00,0.0,6.0
stele_44.jpg,price_95,10.0,12:00Av - 95Av - 92ED10:00,0.0,5.75
stele_45.jpg,price_92,39.2,"ДНВАРЬ, 2018РоскейЕГОТЬ",0.0,5.5
stele_45.jpg,price_95,41.8,"ДНВАРЬ, 2018РоскейЕГОТЬ",0.0,5.5
stele_45.jpg,price_98,43.1,"ДНВАРЬ, 2018РоскейЕГОТЬ",0.0,5.5
stele_45.jpg,price_DT,45.2,"ДНВАРЬ, 2018РоскейЕГОТЬ",0.0,5.5
stele_46.jpg,price_92,15.0,FA3Oin$9.00$5.00$4.00,0.0,4.5
stele_46.jpg,price_95,19.0,FA3Oin$9.00$5.00$4.00,0.0,4.5
stele_46.jpg,price_DT,19.0,FA3Oin$9.00$5.00$4.00,0.0,4.5
stele_47.jpg,price_92,20.4,ЛУКОИЗKTOДТ 23.5592 20.,0.0,5.25
stele_47.jpg,price_95,21.4,ЛУКОИЗKTOДТ 23.5592 20.,0.0,5.25
stele_47.jpg,price_98,23.55,ЛУКОИЗKTOДТ 23.5592 20.,1.0,3.6
stele_47.jpg,price_DT,23.55,ЛУКОИЗKTOДТ 23.5592 20.,1.0,3.6
stele_48.jpg,price_92,46.83,$1 46.83$1 49.55$1 85.78,1.0,3.8
stele_48.jpg,price_95,49.55,$1 46.83$1 49.55$1 85.78,1.0,3.8
stele_48.jpg,price_DT,55.78,$1 46.83$1 49.55$1 85.78,0.0,3.8
stele_49.jpg,price_92,52.6,82-0054-4052-6072-00,0.0,4.25
stele_49.jpg,price_95,56.4,82-0054-4052-6072-00,0.0,4.5
stele_49.jpg,price_98,82.0,82-0054-4052-6072-00,0.0,4.25
stele_49.jpg,price_DT,72.0,82-0054-4052-6072-00,0.0,4.25
stele_50.jpg,price_92,60.7,FORMULAМИНИМаРКЕТ100 90,0.0,5.5
stele_50.jpg,price_95,69.3,FORMULAМИНИМаРКЕТ100 90,0.0,5.75
stele_50.jpg,price_DT,70.6,FORMULAМИНИМаРКЕТ100 90,0.0,5.5
stele_51.jpg,price_92,9.5,92.09.5030.002.50AT 3 L90,1.0,7.333333333333333
stele_51.jpg,price_95,32.5,92.09.5030.002.50AT 3 L90,0.0,5.25
stele_51.jpg,price_DT,31.9,92.09.5030.002.50AT 3 L90,0.0,5.5
stele_52.jpg,price_92,40.9,ИСОМЯЧЯGDRIVE100 50.3595º 43.30,0.0,7.0
stele_52.jpg,price_95,43.3,ИСОМЯЧЯGDRIVE100 50.3595º 43.30,1.0,6.75
stele_52.jpg,price_DT,50.45,ИСОМЯЧЯGDRIVE100 50.3595º 43.30,0.0,5.4
stele_53.jpg,price_92,43.8,8092 428095 453598 4940AT,0.0,5.5
stele_53.jpg,price_95,45.35,8092 428095 453598 4940AT,0.0,4.2
stele_53.jpg,price_98,49.4,8092 428095 453598 4940AT,0.0,5.5
stele_53.jpg,price_DT,50.7,8092 428095 453598 4940AT,0.0,5.75
stele_54.jpg,price_92,60.7,POWEER9569.509566.50,0.0,4.25
stele_54.jpg,price_95,66.5,POWEER9569.509566.50,1.0,4.0
stele_54.jpg,price_DT,70.6,POWEER9569.509566.50,0.0,4.5
stele_55.jpg,price_92,62.15,РОСНЕГТЬ9262.1595,1.0,2.4
stele_55.jpg,price_95,65.6,РОСНЕГТЬ9262.1595,0.0,3.75
stele_55.jpg,price_DT,81.63,РОСНЕГТЬ9262.1595,0.0,3.2
stele_56.jpg,price_92,47.2,РОСНЕТЬ92.41.2098.148.90,0.0,5.25
stele_56.jpg,price_95,48.9,РОСНЕТЬ92.41.2098.148.90,1.0,5.0
stele_56.jpg,price_98,55.35,РОСНЕТЬ92.41.2098.148.90,0.0,4.6
stele_56.jpg,price_DT,55.95,РОСНЕТЬ92.41.2098.148.90,0.0,4.4
stele_57.jpg,price_92,55.0,PULSAR$5.00$9.3060.30AT 6,0.0,5.5
stele_57.jpg,price_95,59.3,PULSAR$5.00$9.3060.30AT 6,0.0,5.25
stele_57.jpg,price_DT,67.2,PULSAR$5.00$9.3060.30AT 6,0.0,5.75
stele_58.jpg,price_92,23.0,92 230009 19302400,0.0,3.75
stele_58.jpg,price_95,24.9,92 230009 19302400,0.0,4.0
stele_58.jpg,price_DT,24.0,92 230009 19302400,0.0,3.75
stele_59.jpg,price_92,55.55,РОСНЕГТЬ9295.5595,0.0,2.6
stele_59.jpg,price_95,58.75,РОСНЕГТЬ9295.5595,0.0,3.0
stele_59.jpg,price_DT,73.73,РОСНЕГТЬ9295.5595,0.0,3.2
stele_60.jpg,price_92,29.0,www.bouzepicare.com,0.0,4.5
stele_60.jpg,price_95,32.4,www.bouzepicare.com,0.0,4.5
stele_60.jpg,price_98,34.8,www.bouzepicare.com,0.0,4.5
stele_60.jpg,price_DT,34.5,www.bouzepicare.com,0.0,4.5
stele_61.jpg,price_92,60.5,BARAKAT05 653002 60 5000 00 0004 84 00,0.0,8.75
stele_61.jpg,price_95,65.3,BARAKAT05 653002 60 5000 00 0004 84 00,0.0,9.0
stele_61.jpg,price_DT,84.0,BARAKAT05 653002 60 5000 00 0004 84 00,0.0,8.75
stele_62.jpg,price_92,22.6,POCHEETSA 19.90226025 244038 2100,0.0,7.75
stele_62.jpg,price_95,24.4,POCHEETSA 19.90226025 244038 2100,0.0,7.75
stele_62.jpg,price_98,27.0,POCHEETSA 19.90226025 244038 2100,0.0,7.75
stele_62.jpg,price_DT,19.9,POCHEETSA 19.90226025 244038 2100,1.0,7.25
stele_63.jpg,price_92,23.6,95/25.7092 23.6020 21.00,1.0,5.0
stele_63.jpg,price_95,25.7,95/25.7092 23.6020 21.00,1.0,5.0
stele_64.jpg,price_92,23.2,POCHEOTB95 24 8092 23 2780AT 23.10,0.0,7.75
