filename,fuel_type,expected,predicted,correct,cer
stele_71.jpg,price_92,56.93,HAND,0.0,1.0
stele_71.jpg,price_95,63.0,HAND,0.0,1.0
stele_71.jpg,price_98,68.73,HAND,0.0,1.0
stele_71.jpg,price_DT,71.6,HAND,0.0,1.0
stele_72.jpg,price_92,56.9,1,0.0,1.0
stele_72.jpg,price_95,60.9,1,0.0,1.0
stele_72.jpg,price_DT,69.5,1,0.0,1.0
stele_73.jpg,price_92,28.2,4,0.0,1.0
stele_73.jpg,price_95,29.9,4,0.0,1.0
stele_73.jpg,price_DT,25.9,4,0.0,1.0
stele_74.jpg,price_92,41.0,1,0.0,0.75
stele_74.jpg,price_95,43.6,1,0.0,1.0
stele_74.jpg,price_98,48.5,1,0.0,1.0
stele_74.jpg,price_DT,41.0,1,0.0,0.75
stele_75.jpg,price_92,23.54,L,0.0,1.0
stele_75.jpg,price_95,12.78,L,0.0,1.0
stele_75.jpg,price_98,23.78,L,0.0,1.0
stele_75.jpg,price_DT,65.56,L,0.0,1.0
stele_76.jpg,price_92,20.5,1,0.0,1.0
stele_76.jpg,price_95,22.0,1,0.0,1.0
stele_76.jpg,price_DT,17.52,1,0.0,0.8
stele_77.jpg,price_92,23.0,1,0.0,1.0
stele_77.jpg,price_95,24.0,1,0.0,1.0
stele_77.jpg,price_DT,24.0,1,0.0,1.0
stele_78.jpg,price_92,27.6,J,0.0,1.0
stele_78.jpg,price_DT,33.0,J,0.0,1.0
stele_79.jpg,price_92,27.1,L,0.0,1.0
stele_79.jpg,price_95,29.0,L,0.0,1.0
stele_79.jpg,price_98,32.0,L,0.0,1.0
stele_79.jpg,price_DT,28.3,L,0.0,1.0
stele_80.jpg,price_92,31.9,1,0.0,0.75
stele_80.jpg,price_95,34.8,1,0.0,1.0
stele_80.jpg,price_DT,34.9,1,0.0,1.0
stele_81.jpg,price_92,40.7,i,0.0,1.0
stele_81.jpg,price_95,44.3,i,0.0,1.0
stele_81.jpg,price_98,48.0,i,0.0,1.0
stele_81.jpg,price_DT,43.5,i,0.0,1.0
stele_82.jpg,price_92,21.0,1,0.0,0.75
stele_82.jpg,price_DT,16.0,1,0.0,0.75
stele_83.jpg,price_92,29.0,i,0.0,1.0
stele_83.jpg,price_95,32.6,i,0.0,1.0
stele_83.jpg,price_98,34.1,i,0.0,1.0
stele_83.jpg,price_DT,33.6,i,0.0,1.0
stele_84.jpg,price_92,27.5,L,0.0,1.0
stele_84.jpg,price_95,29.5,L,0.0,1.0
stele_84.jpg,price_DT,29.0,L,0.0,1.0
stele_85.jpg,price_92,25.9,L,0.0,1.0
stele_85.jpg,price_95,26.9,L,0.0,1.0
stele_85.jpg,price_98,27.7,L,0.0,1.0
stele_85.jpg,price_DT,24.5,L,0.0,1.0
stele_86.jpg,price_92,46.3,I,0.0,1.0
stele_86.jpg,price_95,49.9,I,0.0,1.0
stele_86.jpg,price_98,60.25,I,0.0,1.0
stele_86.jpg,price_DT,53.0,I,0.0,1.0
stele_87.jpg,price_92,40.4,1,0.0,1.0
stele_87.jpg,price_95,43.5,1,0.0,1.0
stele_87.jpg,price_DT,43.0,1,0.0,1.0
stele_88.jpg,price_92,39.5,i,0.0,1.0
stele_88.jpg,price_95,41.5,i,0.0,1.0
stele_88.jpg,price_DT,41.0,i,0.0,1.0
stele_89.jpg,price_92,32.25,L,0.0,1.0
stele_89.jpg,price_95,35.15,L,0.0,1.0
stele_89.jpg,price_98,39.25,L,0.0,1.0
stele_89.jpg,price_DT,33.9,L,0.0,1.0
stele_90.jpg,price_92,18.5,1,0.0,0.75
stele_90.jpg,price_95,20.3,1,0.0,1.0
stele_90.jpg,price_98,24.6,1,0.0,1.0
stele_90.jpg,price_DT,19.4,1,0.0,0.75
stele_91.jpg,price_92,19.99,1,0.0,0.8
stele_91.jpg,price_95,20.99,1,0.0,1.0
stele_92.jpg,price_92,43.65,6,0.0,0.8
stele_92.jpg,price_95,46.85,6,0.0,0.8
stele_92.jpg,price_DT,45.0,6,0.0,1.0
stele_93.jpg,price_92,40.7,+,0.0,1.0
stele_93.jpg,price_95,43.5,+,0.0,1.0
stele_93.jpg,price_DT,50.0,+,0.0,1.0
stele_94.jpg,price_92,32.8,12,0.0,0.75
stele_94.jpg,price_95,35.0,12,0.0,1.0
stele_94.jpg,price_DT,33.75,12,0.0,1.0
stele_95.jpg,price_92,49.03,.,0.0,0.8
stele_95.jpg,price_95,53.75,.,0.0,0.8
stele_95.jpg,price_DT,60.92,.,0.0,0.8
stele_96.jpg,price_92,17.6,A,0.0,1.0
stele_96.jpg,price_95,20.5,A,0.0,1.0
stele_96.jpg,price_DT,19.1,A,0.0,1.0
stele_97.jpg,price_92,23.54,1,0.0,1.0
stele_97.jpg,price_95,12.78,1,0.0,0.8
stele_97.jpg,price_98,23.78,1,0.0,1.0
stele_97.jpg,price_DT,65.56,1,0.0,1.0
stele_98.jpg,price_92,33.0,IS,0.0,1.0
stele_98.jpg,price_95,35.7,IS,0.0,1.0
stele_98.jpg,price_DT,32.5,IS,0.0,1.0
stele_99.jpg,price_92,51.0,1,0.0,0.75
stele_99.jpg,price_95,54.0,1,0.0,1.0
stele_99.jpg,price_DT,67.0,1,0.0,1.0
stele_100.jpg,price_92,40.0,O,0.0,1.0
stele_100.jpg,price_95,42.6,O,0.0,1.0
stele_100.jpg,price_DT,40.0,O,0.0,1.0
stele_101.jpg,price_92,33.6,1,0.0,1.0
stele_101.jpg,price_95,36.9,1,0.0,1.0
stele_101.jpg,price_DT,34.5,1,0.0,1.0
stele_102.jpg,price_92,26.35,R,0.0,1.0
stele_102.jpg,price_95,27.75,R,0.0,1.0
stele_102.jpg,price_DT,24.95,R,0.0,1.0
stele_103.jpg,price_92,28.2,4,0.0,1.0
stele_103.jpg,price_95,29.9,4,0.0,1.0
stele_103.jpg,price_DT,25.9,4,0.0,1.0
stele_104.jpg,price_92,47.6,L,0.0,1.0
stele_104.jpg,price_95,52.4,L,0.0,1.0
stele_104.jpg,price_DT,54.0,L,0.0,1.0
stele_105.jpg,price_92,27.6,1,0.0,1.0
stele_105.jpg,price_DT,33.0,1,0.0,1.0
stele_106.jpg,price_92,52.2,PLAND,0.0,1.25
stele_106.jpg,price_95,56.2,PLAND,0.0,1.25
stele_106.jpg,price_DT,63.0,PLAND,0.0,1.25
stele_107.jpg,price_92,29.8,L,0.0,1.0
stele_107.jpg,price_95,32.75,L,0.0,1.0
stele_107.jpg,price_98,33.25,L,0.0,1.0
stele_107.jpg,price_DT,33.4,L,0.0,1.0
stele_108.jpg,price_92,37.9,1,0.0,1.0
stele_108.jpg,price_95,41.2,1,0.0,0.75
stele_108.jpg,price_DT,38.62,1,0.0,1.0
stele_110.jpg,price_92,37.13,in,0.0,1.0
stele_110.jpg,price_95,40.3,in,0.0,1.0
stele_110.jpg,price_DT,34.9,in,0.0,1.0
stele_111.jpg,price_92,36.3,L,0.0,1.0
stele_111.jpg,price_95,38.8,L,0.0,1.0
stele_111.jpg,price_DT,38.6,L,0.0,1.0
stele_112.jpg,price_92,54.74,+,0.0,1.0
stele_112.jpg,price_95,59.14,+,0.0,1.0
stele_112.jpg,price_98,78.9,+,0.0,1.0
stele_112.jpg,price_DT,66.5,+,0.0,1.0
stele_113.jpg,price_92,31.88,1,0.0,0.8
stele_113.jpg,price_95,34.48,1,0.0,1.0
stele_113.jpg,price_DT,33.8,1,0.0,1.0
stele_114.jpg,price_92,56.0,L,0.0,1.0
stele_114.jpg,price_95,10.0,L,0.0,1.0
stele_115.jpg,price_92,39.2,100,0.0,1.0
stele_115.jpg,price_95,41.8,100,0.0,0.75
stele_115.jpg,price_98,43.1,100,0.0,1.0
stele_115.jpg,price_DT,45.2,100,0.0,1.0
stele_116.jpg,price_92,15.0,A,0.0,1.0
stele_116.jpg,price_95,19.0,A,0.0,1.0
stele_116.jpg,price_DT,19.0,A,0.0,1.0
stele_117.jpg,price_92,20.4,MEN,0.0,1.0
stele_117.jpg,price_95,21.4,MEN,0.0,1.0
stele_117.jpg,price_98,23.55,MEN,0.0,1.0
stele_117.jpg,price_DT,23.55,MEN,0.0,1.0
stele_118.jpg,price_92,46.83,L,0.0,1.0
stele_118.jpg,price_95,49.55,L,0.0,1.0
stele_118.jpg,price_DT,55.78,L,0.0,1.0
stele_119.jpg,price_92,52.6,1,0.0,1.0
stele_119.jpg,price_95,56.4,1,0.0,1.0
stele_119.jpg,price_98,82.0,1,0.0,1.0
stele_119.jpg,price_DT,72.0,1,0.0,1.0
stele_120.jpg,price_92,60.7,Lestince,0.0,2.0
stele_120.jpg,price_95,69.3,Lestince,0.0,2.0
stele_120.jpg,price_DT,70.6,Lestince,0.0,2.0
stele_121.jpg,price_92,9.5,+,0.0,1.0
stele_121.jpg,price_95,32.5,+,0.0,1.0
stele_121.jpg,price_DT,31.9,+,0.0,1.0
stele_122.jpg,price_92,40.9,LA,0.0,1.0
stele_122.jpg,price_95,43.3,LA,0.0,1.0
stele_122.jpg,price_DT,50.45,LA,0.0,1.0
stele_123.jpg,price_92,43.8,1,0.0,1.0
stele_123.jpg,price_95,45.35,1,0.0,1.0
stele_123.jpg,price_98,49.4,1,0.0,1.0
stele_123.jpg,price_DT,50.7,1,0.0,1.0
stele_124.jpg,price_92,60.7,Ling,0.0,1.0
stele_124.jpg,price_95,66.5,Ling,0.0,1.0
stele_124.jpg,price_DT,70.6,Ling,0.0,1.0
stele_125.jpg,price_92,62.15,F,0.0,1.0
stele_125.jpg,price_95,65.6,F,0.0,1.0
stele_125.jpg,price_DT,81.63,F,0.0,1.0
stele_126.jpg,price_92,47.2,it,0.0,1.0
stele_126.jpg,price_95,48.9,it,0.0,1.0
stele_126.jpg,price_98,55.35,it,0.0,1.0
stele_126.jpg,price_DT,55.95,it,0.0,1.0
stele_127.jpg,price_92,55.0,-M,0.0,1.0
stele_127.jpg,price_95,59.3,-M,0.0,1.0
stele_127.jpg,price_DT,67.2,-M,0.0,1.0
stele_128.jpg,price_92,23.0,1,0.0,1.0
stele_128.jpg,price_95,24.9,1,0.0,1.0
stele_128.jpg,price_DT,24.0,1,0.0,1.0
stele_129.jpg,price_92,55.55,P,0.0,1.0
stele_129.jpg,price_95,58.75,P,0.0,1.0
stele_129.jpg,price_DT,73.73,P,0.0,1.0
stele_130.jpg,price_92,29.0,THE,0.0,1.0
stele_130.jpg,price_95,32.4,THE,0.0,1.0
stele_130.jpg,price_98,34.8,THE,0.0,1.0
stele_130.jpg,price_DT,34.5,THE,0.0,1.0
stele_131.jpg,price_92,60.5,1,0.0,1.0
stele_131.jpg,price_95,65.3,1,0.0,1.0
stele_131.jpg,price_DT,84.0,1,0.0,1.0
stele_132.jpg,price_92,22.6,lat,0.0,1.0
stele_132.jpg,price_95,24.4,lat,0.0,1.0
stele_132.jpg,price_98,27.0,lat,0.0,1.0
stele_132.jpg,price_DT,19.9,lat,0.0,1.0
stele_133.jpg,price_92,23.6,4,0.0,1.0
stele_133.jpg,price_95,25.7,4,0.0,1.0
stele_134.jpg,price_92,23.2,ME,0.0,1.0
stele_134.jpg,price_95,24.8,ME,0.0,1.0
stele_134.jpg,price_DT,23.1,ME,0.0,1.0
stele_135.jpg,price_92,40.59,1,0.0,1.0
stele_135.jpg,price_95,43.39,1,0.0,1.0
stele_135.jpg,price_DT,44.59,1,0.0,1.0
stele_136.jpg,price_92,39.3,4.,0.0,0.75
stele_136.jpg,price_95,41.1,4.,0.0,0.5
stele_136.jpg,price_98,44.1,4.,0.0,0.5
stele_136.jpg,price_DT,43.7,4.,0.0,0.5
stele_137.jpg,price_92,73.4,L,0.0,1.0
stele_137.jpg,price_95,81.6,L,0.0,1.0
stele_137.jpg,price_98,93.5,L,0.0,1.0
stele_137.jpg,price_DT,90.7,L,0.0,1.0
stele_138.jpg,price_92,40.89,Lib,0.0,1.0
stele_138.jpg,price_95,43.09,Lib,0.0,1.0
stele_138.jpg,price_98,50.29,Lib,0.0,1.0
stele_138.jpg,price_DT,43.99,Lib,0.0,1.0
stele_139.jpg,price_92,41.19,1,0.0,0.8
stele_139.jpg,price_95,44.89,1,0.0,1.0
stele_139.jpg,price_DT,41.69,1,0.0,0.8
stele_140.jpg,price_92,42.4,k,0.0,1.0
stele_140.jpg,price_95,45.4,k,0.0,1.0
stele_140.jpg,price_DT,45.95,k,0.0,1.0
