filename,fuel_type,expected,predicted,correct,cer
stele_1.jpg,price_92,56.93,HAND,0.0,1.0
stele_1.jpg,price_95,63.0,HAND,0.0,1.0
stele_1.jpg,price_98,68.73,HAND,0.0,1.0
stele_1.jpg,price_DT,71.6,HAND,0.0,1.0
stele_2.jpg,price_92,56.9,JI,0.0,1.0
stele_2.jpg,price_95,60.9,JI,0.0,1.0
stele_2.jpg,price_DT,69.5,JI,0.0,1.0
stele_3.jpg,price_92,28.2,4,0.0,1.0
stele_3.jpg,price_95,29.9,4,0.0,1.0
stele_3.jpg,price_DT,25.9,4,0.0,1.0
stele_4.jpg,price_92,41.0,+,0.0,1.0
stele_4.jpg,price_95,43.6,+,0.0,1.0
stele_4.jpg,price_98,48.5,+,0.0,1.0
stele_4.jpg,price_DT,41.0,+,0.0,1.0
stele_5.jpg,price_92,23.54,LA,0.0,1.0
stele_5.jpg,price_95,12.78,LA,0.0,1.0
stele_5.jpg,price_98,23.78,LA,0.0,1.0
stele_5.jpg,price_DT,65.56,LA,0.0,1.0
stele_6.jpg,price_92,20.5,I,0.0,1.0
stele_6.jpg,price_95,22.0,I,0.0,1.0
stele_6.jpg,price_DT,17.52,I,0.0,1.0
stele_7.jpg,price_92,23.0,1,0.0,1.0
stele_7.jpg,price_95,24.0,1,0.0,1.0
stele_7.jpg,price_DT,24.0,1,0.0,1.0
stele_8.jpg,price_92,27.6,J,0.0,1.0
stele_8.jpg,price_DT,33.0,J,0.0,1.0
stele_9.jpg,price_92,27.1,L,0.0,1.0
stele_9.jpg,price_95,29.0,L,0.0,1.0
stele_9.jpg,price_98,32.0,L,0.0,1.0
stele_9.jpg,price_DT,28.3,L,0.0,1.0
stele_10.jpg,price_92,31.9,i,0.0,1.0
stele_10.jpg,price_95,34.8,i,0.0,1.0
stele_10.jpg,price_DT,34.9,i,0.0,1.0
stele_11.jpg,price_92,40.7,i,0.0,1.0
stele_11.jpg,price_95,44.3,i,0.0,1.0
stele_11.jpg,price_98,48.0,i,0.0,1.0
stele_11.jpg,price_DT,43.5,i,0.0,1.0
stele_12.jpg,price_92,21.0,1,0.0,0.75
stele_12.jpg,price_DT,16.0,1,0.0,0.75
stele_13.jpg,price_92,29.0,i,0.0,1.0
stele_13.jpg,price_95,32.6,i,0.0,1.0
stele_13.jpg,price_98,34.1,i,0.0,1.0
stele_13.jpg,price_DT,33.6,i,0.0,1.0
stele_14.jpg,price_92,27.5,L,0.0,1.0
stele_14.jpg,price_95,29.5,L,0.0,1.0
stele_14.jpg,price_DT,29.0,L,0.0,1.0
stele_15.jpg,price_92,25.9,L,0.0,1.0
stele_15.jpg,price_95,26.9,L,0.0,1.0
stele_15.jpg,price_98,27.7,L,0.0,1.0
stele_15.jpg,price_DT,24.5,L,0.0,1.0
stele_16.jpg,price_92,46.3,0,0.0,1.0
stele_16.jpg,price_95,49.9,0,0.0,1.0
stele_16.jpg,price_98,60.25,0,0.0,0.8
stele_16.jpg,price_DT,53.0,0,0.0,0.75
stele_17.jpg,price_92,40.4,1,0.0,1.0
stele_17.jpg,price_95,43.5,1,0.0,1.0
stele_17.jpg,price_DT,43.0,1,0.0,1.0
stele_18.jpg,price_92,39.5,i,0.0,1.0
stele_18.jpg,price_95,41.5,i,0.0,1.0
stele_18.jpg,price_DT,41.0,i,0.0,1.0
stele_19.jpg,price_92,32.25,L,0.0,1.0
stele_19.jpg,price_95,35.15,L,0.0,1.0
stele_19.jpg,price_98,39.25,L,0.0,1.0
stele_19.jpg,price_DT,33.9,L,0.0,1.0
stele_20.jpg,price_92,18.5,1,0.0,0.75
stele_20.jpg,price_95,20.3,1,0.0,1.0
stele_20.jpg,price_98,24.6,1,0.0,1.0
stele_20.jpg,price_DT,19.4,1,0.0,0.75
stele_21.jpg,price_92,19.99,1.,0.0,0.6
stele_21.jpg,price_95,20.99,1.,0.0,0.8
